account length,number vmail messages,total day minutes,total day charge,total eve minutes,total eve charge,total night minutes,total night charge,total intl minutes,total intl charge,customer service calls,international plan,voice mail plan,churn
199,31,209.7591276925421,34.26444411161729,281.2500083176515,30.23194666825008,184.87145979761877,12.959952579378815,7.074172350393669,3.463626516184401,5,no,yes,0
105,4,169.1645712071178,28.410146005314818,218.44362386111322,18.09804978635993,211.9536543137755,19.052272874404483,6.8240831576113425,2.83477971852486,9,no,no,0
138,23,295.16086638873026,34.19350688183482,261.1125505319277,30.247314467532178,254.45835546776317,17.13936586843575,14.468105021516088,2.407899542838185,5,no,yes,1
199,44,144.40959715155054,19.922485411942542,192.21817579131127,34.444777418552036,209.9664119197625,18.69886297260006,12.325718998817289,2.7225110666536976,6,no,no,0
105,14,227.85074475270955,35.025097750844196,240.75957711764613,32.548417222832384,264.23010310851464,12.519152339430958,13.113569314206234,3.1310822761148454,0,no,no,0
125,36,190.8174693798119,35.02367756543957,195.08355869763852,30.529242340828777,147.45092193146323,12.005252393736873,11.898462313990558,2.182323952509229,6,yes,no,1
129,3,217.67392477370205,38.55857779167322,253.57176941883745,29.75036271599163,124.5483232116072,17.994205138731576,4.588983377783977,2.945180578556231,0,no,no,0
177,37,257.55142521563386,31.6072334536772,293.6814944244527,29.937948203755212,158.3448812126091,20.235612014289956,14.563251752380058,4.728851518458459,4,no,no,0
90,37,239.9885658507862,36.8259813639698,144.0303424977697,25.755804735405043,189.90403767884868,25.99475724043721,13.642010238169695,3.47882515766805,6,no,yes,0
129,15,172.6651438626255,24.63596569387493,275.25958246312183,27.001943753156368,191.03991254310685,17.71541704111209,18.630557116145557,3.472115339664779,8,no,yes,1
109,8,157.8391336967758,28.258911962619035,206.43893366213166,39.70716896250878,247.82982407281048,26.889073338603307,11.99022962374799,2.6017196133606166,3,no,no,0
149,8,138.63468465703215,29.18149754839176,317.68068515459464,23.96441978072535,207.1684403472961,22.54176394859089,4.517662861155318,1.3962712316814367,6,no,no,0
117,32,201.11701219310936,39.850674762424816,218.64568371454538,30.25020932566128,256.39465811267814,25.670208992278116,16.612428010940093,3.9571587074463284,5,no,no,0
97,7,154.79127604413137,29.936016067183015,160.09054355196605,38.18279440753674,103.42332714049405,17.17720225397303,0.24025538368232624,2.31947967782412,4,no,yes,1
132,41,209.28570517336982,21.912105081125773,191.19452776276003,34.53514448545694,203.5984362698927,15.136220929573522,5.628980363608313,2.345016334381652,7,no,yes,0
132,9,209.91114114611594,32.37951705482666,145.6093550389552,41.01323905413252,233.88223765406875,20.33790258065428,13.517410186381664,4.916616360712736,0,no,no,0
87,19,187.4938309557836,29.113614196633467,206.3061301439624,30.766598785600472,170.5394557666272,14.841273594285324,5.406997136793528,3.429106581695091,2,no,yes,0
143,47,168.6150896718917,34.165241031570126,167.6280057040724,25.228673735963874,243.21073259509586,18.667785541602317,8.893364732362429,3.587577945746338,3,no,no,0
91,3,221.47333897115038,28.279709927102523,198.7195119659705,25.919187786312136,196.6886596581556,13.88847930896592,8.040822198126937,2.195746483762738,2,no,no,0
169,19,204.85436375836326,34.67428955870561,240.15127226543154,27.915125592072272,171.91699047498165,25.04049801543972,12.602849917117467,2.3842321470747003,2,no,no,0
89,8,153.89019445792354,24.900313018755966,226.8824131989851,29.52235221705338,221.54849953178896,19.777591040933597,15.958233748338202,2.9813743346439163,4,no,no,0
92,30,170.25852182776183,30.574531419302634,278.98390614146865,28.286615683337576,134.83038496920244,18.67541577097837,5.8784498997725425,2.4656361044922006,4,no,no,0
75,6,115.34420429154709,36.25252874360381,153.75666228606815,25.423941499291878,155.04790529939243,14.346553576148962,14.74702471926226,2.783392346763782,5,no,yes,0
166,34,128.0623738319245,28.57656774224593,204.34740424602006,33.732026700256625,168.9107770421587,16.876743228259002,1.4876419629834032,2.7823423759357215,5,no,no,0
71,31,132.88018266367436,29.770876750047947,223.80271701951236,36.20838514674589,160.996356807255,30.971620136377446,13.222167784539847,1.292021270647063,4,no,no,0
145,2,206.84464717972077,24.291145001464322,207.43809896190055,36.33592120346192,293.2835399755758,18.46101393363434,8.845367960119301,2.861473597438725,1,no,no,0
184,47,171.5562096621112,24.46046853943757,212.742539276208,34.255848893162934,208.5097738212897,23.272450871279922,11.430880687930724,1.8142813669084776,0,yes,no,1
81,19,186.0367814952111,30.488434093991536,262.4104519251762,33.251547594554125,258.2769336373245,26.35884543544349,9.753045473701404,1.7582670192801486,4,no,no,0
165,42,193.31184569418002,33.916781693427374,219.16536209412368,33.82933754781547,230.32574999200722,14.42002963648431,6.004384320115691,2.4661347789908934,6,yes,yes,0
